iter	Logloss
0	0.6694772269
1	0.6516505492
2	0.6361470238
3	0.6217319029
4	0.610031797
5	0.6004949457
6	0.5916630248
7	0.584572369
8	0.5785742612
9	0.5729070578
10	0.5686419202
11	0.5638815784
12	0.5604997314
13	0.5572587756
14	0.5536422785
15	0.5507632204
16	0.5480642174
17	0.5457729661
18	0.5435777506
19	0.5414935811
20	0.5398079326
21	0.538029795
22	0.5364616461
23	0.5349561011
24	0.5336302341
25	0.5324679914
26	0.5313012665
27	0.5303337451
28	0.5292539715
29	0.528166841
30	0.5273806016
31	0.5264727853
32	0.5255966477
33	0.5249559992
34	0.5243425666
35	0.5234920549
36	0.5228654887
37	0.5222077324
38	0.5217198226
39	0.5211826649
40	0.5206679878
41	0.520204296
42	0.5197244583
43	0.5192616587
44	0.5188434785
45	0.5184627325
46	0.5181400086
47	0.517802807
48	0.5174255505
49	0.5170846991
50	0.5167819793
51	0.5165676411
52	0.5162576773
53	0.5159895109
54	0.5157740423
55	0.5155139541
56	0.5152675286
57	0.5150428082
58	0.5147984705
59	0.5145947691
60	0.5143691361
61	0.5142143392
62	0.5139850576
63	0.5138324475
64	0.5136587937
65	0.5135305289
66	0.5133755165
67	0.513212894
68	0.5130521253
69	0.5129185219
70	0.5127182004
71	0.5125761154
72	0.5124351463
73	0.512306895
74	0.5121719366
75	0.5120274187
76	0.5119177799
77	0.5118098462
78	0.5116881872
79	0.5115913903
80	0.5114744791
81	0.5113753925
82	0.5112931813
83	0.5111877279
84	0.511075819
85	0.5109581147
86	0.5108227798
87	0.5107019854
88	0.5105959221
89	0.5105201687
90	0.5103942467
91	0.5102985137
92	0.5102016219
93	0.510109841
94	0.5100043251
95	0.5099068602
96	0.5098270317
97	0.5097297282
98	0.5096629964
99	0.509586967
100	0.509507102
101	0.5094307113
102	0.5093425102
103	0.5092371755
104	0.5091458055
105	0.5090720184
106	0.5089705008
107	0.5088456996
108	0.5087533244
109	0.5086974524
110	0.508628472
111	0.5085732352
112	0.5084900611
113	0.5084182911
114	0.5083592977
115	0.5082979451
116	0.5082329881
117	0.5081639636
118	0.5080705833
119	0.5079994472
120	0.5079402057
121	0.5078526229
122	0.5077743533
123	0.5076742821
124	0.5076323536
125	0.5075895802
126	0.5075201193
127	0.5074239856
128	0.507338785
129	0.507282112
130	0.5072201213
131	0.5071291391
132	0.5070732199
133	0.5070122201
134	0.5069511082
135	0.5068902227
136	0.5068299735
137	0.5068017139
138	0.5067373072
139	0.5066498895
140	0.5065664869
141	0.5065368001
142	0.5064524869
143	0.5063660975
144	0.5062870218
145	0.5062121331
146	0.5061647728
147	0.5060927101
148	0.5060168703
149	0.505963544
150	0.5059600092
151	0.5058606245
152	0.5057955375
153	0.5057344136
154	0.5056863628
155	0.5056262148
156	0.5055502501
157	0.5054865332
158	0.5054313837
159	0.5053739622
160	0.5053188344
161	0.505315959
162	0.5052609797
163	0.5052373075
164	0.5051867061
165	0.5051254025
166	0.5050755832
167	0.5050050049
168	0.5049305428
169	0.5048746512
170	0.5048114489
171	0.5047239101
172	0.5046444691
173	0.5046006099
174	0.5045814183
175	0.5045213231
176	0.5044386871
177	0.5043912057
178	0.5043432132
179	0.5042787691
180	0.5042378652
181	0.5041796117
182	0.5041092276
183	0.5040342527
184	0.5039716275
185	0.503937412
186	0.5038949861
187	0.5038585269
188	0.5037981009
189	0.5037399723
190	0.5037178882
191	0.5036809091
192	0.5036192724
193	0.5035722549
194	0.5035133839
195	0.5034409523
196	0.5034060537
197	0.5033531148
198	0.5032950193
199	0.5032268056
200	0.5031578454
201	0.5031213886
202	0.5030407671
203	0.5029927505
204	0.5029443137
205	0.5028976826
206	0.5028555971
207	0.5028127792
208	0.5027702786
209	0.5027038652
210	0.502653641
211	0.5026036652
212	0.5025552239
213	0.5025158083
214	0.5024642424
215	0.5024244762
216	0.5023645413
217	0.502316155
218	0.5022737353
219	0.5022021171
220	0.5021636892
221	0.5021087845
222	0.5020710169
223	0.5020051274
224	0.5019561732
225	0.5019057403
226	0.5018405998
227	0.5017896438
228	0.5017319805
229	0.5016801451
230	0.5016276932
231	0.5015649973
232	0.5014968284
233	0.5014562968
234	0.5014056184
235	0.501354068
236	0.5012974754
237	0.5012685421
238	0.5012364435
239	0.5012325498
240	0.5011737273
241	0.5011402837
242	0.5010878718
243	0.5010434515
244	0.5009957938
245	0.5009471779
246	0.5008952806
247	0.500855426
248	0.5008344969
249	0.5007852847
250	0.5007503612
251	0.5007050493
252	0.5006648208
253	0.5006069239
254	0.5005795704
255	0.5005479478
256	0.5004993305
257	0.5004630978
258	0.5004194237
259	0.5003738144
260	0.5003216714
261	0.5002722624
262	0.5002326663
263	0.5001690744
264	0.5001142975
265	0.5000841665
266	0.5000590966
267	0.5000074902
268	0.4999764836
269	0.4999084851
270	0.4998661933
271	0.499852142
272	0.4998121523
273	0.4997798954
274	0.4997356646
275	0.4996969313
276	0.4996460842
277	0.499590635
278	0.4995383314
279	0.4995344979
280	0.4994826459
281	0.4994375562
282	0.4993992048
283	0.4993807536
284	0.4993415875
285	0.4992950522
286	0.499237088
